FileId,Layers,TrainAccuracy,ValidationAccuracy,TestAccuracy,Folder3Accuracy,Iterations,Performance,TrainFunction,TrainTime,HiddenLayer,OuputLayer
71,10,50,50,40,47.5,24,0.238152922,trainrp,0.1206856,logsig,logsig
72,10,10,10,10,7.5,6,0.25,traincgp,0.1381891,logsig,logsig
73,20,100,100,100,92.5,10,0.005446496,trainlm,10.139063,logsig,purelin
74,20,100,90,80,85,100,0.007386811,trainrp,0.2719291,logsig,purelin
75,20,100,100,100,90,55,0.002462513,traincgp,0.2689429,logsig,purelin
76,20,100,100,90,75,9,0.011116084,trainlm,9.0642903,tansig,purelin
77,20,93.75,80,100,72.5,37,0.027836486,trainrp,0.0962069,tansig,purelin
78,20,97.5,90,80,65,29,0.036985068,traincgp,0.1724308,tansig,purelin
79,20,100,90,90,85,9,0.002205128,trainlm,8.831397,tansig,tansig
80,20,92.5,80,100,77.5,24,0.011785786,trainrp,0.1277698,tansig,tansig
81,20,70,70,70,65,62,0.034899547,traincgp,0.2344958,tansig,tansig
82,20,100,100,100,92.5,59,0.225519496,trainlm,75.9987104,logsig,logsig
83,20,20,20,20,20,10,0.247500693,trainrp,0.1078808,logsig,logsig
84,20,10,10,10,7.5,6,0.25,traincgp,0.119532,logsig,logsig
85,20,100,70,90,80,9,0.014648506,trainlm,9.7975702,logsig,purelin
86,20,100,80,100,90,32,0.018339487,trainrp,0.1722024,logsig,purelin
87,20,100,100,100,85,34,0.011578507,traincgp,0.2761021,logsig,purelin
88,20,100,100,80,87.5,8,0.012757815,trainlm,9.1901891,tansig,purelin
89,20,85,70,70,60,29,0.048797759,trainrp,0.1205554,tansig,purelin
90,20,82.5,60,50,55,21,0.056024702,traincgp,0.1333979,tansig,purelin
91,20,100,100,90,87.5,9,0.000894456,trainlm,9.1082258,tansig,tansig
92,20,100,100,80,85,55,0.003268494,trainrp,0.163816,tansig,tansig
93,20,88.75,90,90,82.5,56,0.01185942,traincgp,0.2610225,tansig,tansig
94,20,51.25,30,50,45,37,0.237750232,trainlm,46.6724173,logsig,logsig
95,20,32.5,40,10,30,16,0.242820238,trainrp,0.1144164,logsig,logsig
96,20,11.25,0,10,10,5,0.25,traincgp,0.1196141,logsig,logsig
